mAb,obj
https://www.imgt.org/imgt-ontology#mAb_546,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_722,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_789,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_98,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1285,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_357,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_97,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_473,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_668,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1075,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_896,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1340,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_931,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1143,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1339,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1171,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_80,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_1328,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_771,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
https://www.imgt.org/imgt-ontology#mAb_982,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3430
